Date,Predicted Value
2014/12/01,30.434573118056846
2014/12/02,31.655605497458254
2014/12/03,18.306380518776223
2014/12/04,31.43589939137547
2014/12/05,23.81815813407661
2014/12/06,21.346389085016142
2014/12/07,22.959651383925234
2014/12/08,24.90248154272632
2014/12/09,20.05807249568869
2014/12/10,18.536160707473698
2014/12/11,19.507099796023994
2014/12/12,21.95908841549729
2014/12/13,25.625546187636985
2014/12/14,24.56240185616261
2014/12/15,27.906888892429464
2014/12/16,17.042749260286996
2014/12/17,23.646114214648378
2014/12/18,26.085201368426965
2014/12/19,25.600494984841873
2014/12/20,25.38361333529639
2014/12/21,15.022009798849268
2014/12/22,13.784884886419803
2014/12/23,14.203929901045854
2014/12/24,16.896650345174322
2014/12/25,30.401744508139558
2014/12/26,34.00289193584422
2014/12/27,26.72679947502317
2014/12/28,27.7501912283214
2014/12/29,30.47762069131744
2014/12/30,29.75450606501306
2014/12/31,25.711734118928945
